"time","pa.Gp","pa.Ip","rag.Qgut","rag.Qsto1","rag.Qsto2","der(pa.Gp)","der(pa.Ip)","der(rag.Qgut)","der(rag.Qsto1)","der(rag.Qsto2)","pa.G","pa.I","pu.err","rag.Qsto","rag.Rameal","gen.delta","pu.insulin_out","pu.z","gen.meal_off","gen.meal_on","pu.fail","pa.Rameal","pa.insulin_from_pump","pu.glucose","rag.delta"
73.40000000000011,106.0398368601519,63611.11756115448,94229.09374631694,59245.01319114472,110152.086942084,0.08117210765772143,-559.0658192877016,-1095.259054461681,-4093.8304115081,-3517.678796189904,106.0398368601519,1476198.969083493,6.03983686015188,169397.1001332287,78.80220671705267,0,5770.233985769702,-261.5479900515506,1,1,0,78.80220671705267,5770.233985769702,106.0398368601519,0
73.49999999999966,106.0237746506759,63555.48948313855,94118.86022125313,58837.04131615382,109800.1237064149,-0.2689682844661547,-553.507830148951,-1109.394136330517,-4065.639554946229,-3521.548993167044,106.0237746506759,1475015.392955495,6.023774650675904,168637.1650225688,78.71002027352584,0,5770.233985769702,-261.5479900515506,1,1,0,78.71002027352584,5770.233985769702,106.0237746506759,0
73.49999999999966,106.0237746506759,63555.48948313855,94118.86022125313,58837.04131615382,109800.1237064149,-0.2689682844661547,-553.507830148951,-1109.394136330517,-4065.639554946229,-3521.548993167044,106.0237746506759,1475015.392955495,6.023774650675904,168637.1650225688,78.71002027352584,0,5770.233985769702,-261.5479900515506,1,1,0,78.71002027352584,5770.233985769702,106.0237746506759,0
73.5000000000001,106.0237746506758,63555.4894831383,94118.86022125263,58837.04131615203,109800.1237064134,-0.2689682844672916,-553.5078301489256,-1109.394136330578,-4065.639554946105,-3521.54899316706,106.0237746506758,1475015.392955489,6.02377465067579,168637.1650225654,78.71002027352543,0,5770.233985769702,-261.5479900515506,1,1,0,78.71002027352543,5770.233985769702,106.0237746506758,0
73.5000000000001,106.0237746506758,63555.4894831383,94118.86022125263,58837.04131615203,109800.1237064134,0.08129207554839013,-569.0347598163288,-1109.394136330578,-4065.639554946105,-3521.54899316706,106.0237746506758,1474685.0327498,6.02377465067579,168637.1650225654,78.71002027352543,0,5754.707056102298,-260.945612586483,1,1,0,78.71002027352543,5754.707056102298,106.0237746506758,0
73.59999999999965,106.0076709888596,63498.86947856966,94007.21839067091,58431.87880927195,109447.7844803136,-0.2698487666746132,-563.3775904580106,-1123.425071708321,-4037.642825720691,-3525.19908186898,106.0076709888596,1473480.351801531,6.007670988859601,167879.6632895856,78.61665608777346,0,5754.707056102298,-260.945612586483,1,1,0,78.61665608777346,5754.707056102298,106.0076709888596,0
73.59999999999965,106.0076709888596,63498.86947856966,94007.21839067091,58431.87880927195,109447.7844803136,-0.2698487666746132,-563.3775904580106,-1123.425071708321,-4037.642825720691,-3525.19908186898,106.0076709888596,1473480.351801531,6.007670988859601,167879.6632895856,78.61665608777346,0,5754.707056102298,-260.945612586483,1,1,0,78.61665608777346,5754.707056102298,106.0076709888596,0
73.60000000000009,106.0076709888595,63498.86947856942,94007.21839067042,58431.87880927017,109447.7844803121,-0.2698487666762048,-563.3775904579861,-1123.425071708383,-4037.642825720568,-3525.199081868995,106.0076709888595,1473480.351801526,6.007670988859488,167879.6632895822,78.61665608777304,0,5754.707056102298,-260.945612586483,1,1,0,78.61665608777304,5754.707056102298,106.0076709888595,0
73.60000000000009,106.0076709888595,63498.86947856942,94007.21839067042,58431.87880927017,109447.7844803121,0.08140138613885028,-578.9507626900586,-1123.425071708383,-4037.642825720568,-3525.199081868995,106.0076709888595,1473149.007711482,6.007670988859488,167879.6632895822,78.61665608777304,0,5739.133883870226,-260.344845487597,1,1,0,78.61665608777304,5739.133883870226,106.0076709888595,0
73.69999999999965,105.9915269839008,63441.26281483517,93894.17869673773,58029.50632468404,109095.0911319738,-0.2707126051489013,-573.1949395181211,-1137.351314359179,-4009.838887035667,-3528.631910183719,105.9915269839008,1471923.334015008,5.991526983900798,167124.5974566578,78.52212289240455,0,5739.133883870226,-260.344845487597,1,1,0,78.52212289240455,5739.133883870226,105.9915269839008,0
73.69999999999965,105.9915269839008,63441.26281483517,93894.17869673773,58029.50632468404,109095.0911319738,-0.2707126051489013,-573.1949395181211,-1137.351314359179,-4009.838887035667,-3528.631910183719,105.9915269839008,1471923.334015008,5.991526983900798,167124.5974566578,78.52212289240455,0,5739.133883870226,-260.344845487597,1,1,0,78.52212289240455,5739.133883870226,105.9915269839008,0
73.70000000000009,105.9915269839007,63441.26281483491,93894.17869673723,58029.50632468228,109095.0911319722,-0.2707126051495834,-573.1949395180957,-1137.351314359241,-4009.838887035545,-3528.631910183734,105.9915269839007,1471923.334015003,5.991526983900684,167124.5974566545,78.52212289240416,0,5739.133883870226,-260.344845487597,1,1,0,78.52212289240416,5739.133883870226,105.9915269839007,0
73.70000000000009,105.9915269839007,63441.26281483491,93894.17869673723,58029.50632468228,109095.0911319722,0.08150105729123425,-588.8132088324239,-1137.351314359241,-4009.838887035545,-3528.631910183734,105.9915269839007,1471591.03041257,5.991526983900684,167124.5974566545,78.52212289240416,0,5723.515614555898,-259.7456927892069,1,1,0,78.52212289240416,5723.515614555898,105.9915269839007,0
73.79999999999964,105.9753437782661,63382.67482092218,93779.75163501492,57629.90464979201,108742.0652462401,-0.2715596812593049,-582.959264402841,-1151.172342560186,-3982.226411300628,-3531.850297214564,105.9753437782661,1470344.477350597,5.975343778266065,166371.9698960321,78.42642946468062,0,5723.515614555898,-259.7456927892069,1,1,0,78.42642946468062,5723.515614555898,105.9753437782661,0
73.79999999999964,105.9753437782661,63382.67482092218,93779.75163501492,57629.90464979201,108742.0652462401,-0.2715596812593049,-582.959264402841,-1151.172342560186,-3982.226411300628,-3531.850297214564,105.9753437782661,1470344.477350597,5.975343778266065,166371.9698960321,78.42642946468062,0,5723.515614555898,-259.7456927892069,1,1,0,78.42642946468062,5723.515614555898,105.9753437782661,0
73.80000000000008,105.975343778266,63382.67482092192,93779.75163501441,57629.90464979026,108742.0652462386,-0.2715596812602143,-582.9592644028155,-1151.172342560249,-3982.226411300507,-3531.850297214577,105.975343778266,1470344.477350592,5.975343778265952,166371.9698960288,78.4264294646802,0,5723.515614555898,-259.7456927892069,1,1,0,78.4264294646802,5723.515614555898,105.975343778266,0
73.80000000000008,105.975343778266,63382.67482092192,93779.75163501441,57629.90464979026,108742.0652462386,0.08159043705495606,-598.6214505010769,-1151.172342560249,-3982.226411300507,-3531.850297214577,105.975343778266,1470011.239348501,5.975343778265952,166371.9698960288,78.4264294646802,0,5707.853428457636,-259.1481584113803,1,1,0,78.4264294646802,5707.853428457636,105.975343778266,0
73.89999999999964,105.9591224624473,63323.11089026847,93663.94775202812,57233.05470429922,108388.7281274755,-0.2723903839607829,-592.6699238304767,-1164.887658678844,-3954.804080067076,-3534.857033541479,105.9591224624473,1468743.921675024,5.959122462447326,165621.7828317747,78.3295846244837,0,5707.853428457636,-259.1481584113803,1,1,0,78.3295846244837,5707.853428457636,105.9591224624473,0
73.89999999999964,105.9591224624473,63323.11089026847,93663.94775202812,57233.05470429922,108388.7281274755,-0.2723903839607829,-592.6699238304767,-1164.887658678844,-3954.804080067076,-3534.857033541479,105.9591224624473,1468743.921675024,5.959122462447326,165621.7828317747,78.3295846244837,0,5707.853428457636,-259.1481584113803,1,1,0,78.3295846244837,5707.853428457636,105.9591224624473,0
73.90000000000008,105.9591224624472,63323.11089026821,93663.94775202761,57233.05470429748,108388.7281274739,-0.272390383961465,-592.6699238304514,-1164.887658678904,-3954.804080066956,-3534.857033541492,105.9591224624472,1468743.921675018,5.959122462447212,165621.7828317714,78.32958462448327,0,5707.853428457636,-259.1481584113803,1,1,0,78.32958462448327,5707.853428457636,105.9591224624472,0
73.90000000000008,105.9591224624472,63323.11089026821,93663.94775202761,57233.05470429748,108388.7281274739,0.08167036480404022,-608.3749002451782,-1164.887658678904,-3954.804080066956,-3534.857033541492,105.9591224624472,1468409.773240662,5.959122462447212,165621.7828317714,78.32958462448327,0,5692.148452042909,-258.5522461651356,1,1,0,78.32958462448327,5692.148452042909,105.9591224624472,0
73.99999999999963,105.9428641513407,63262.57647476489,93546.77764287907,56838.93753929938,108035.1008024,-0.2732046440396516,-602.3263361881776,-1178.496788756189,-3927.570583965587,-3537.654881480251,105.9428641513407,1467121.806953358,5.942864151340686,164874.0383416993,78.23159723231923,0,5692.148452042909,-258.5522461651356,1,1,0,78.23159723231923,5692.148452042909,105.9428641513407,0
73.99999999999963,105.9428641513407,63262.57647476489,93546.77764287907,56838.93753929938,108035.1008024,-0.2732046440396516,-602.3263361881776,-1178.496788756189,-3927.570583965587,-3537.654881480251,105.9428641513407,1467121.806953358,5.942864151340686,164874.0383416993,78.23159723231923,0,5692.148452042909,-258.5522461651356,1,1,0,78.23159723231923,5692.148452042909,105.9428641513407,0
74.00000000000007,105.9428641513406,63262.57647476462,93546.77764287854,56838.93753929764,108035.1008023984,-0.2732046440414706,-602.3263361881512,-1178.496788756247,-3927.570583965467,-3537.654881480263,105.9428641513406,1467121.806953352,5.942864151340572,164874.0383416961,78.23159723231878,0,5692.148452042909,-258.5522461651356,1,1,0,78.23159723231878,5692.148452042909,105.9428641513406,0
74.00000000000007,105.9428641513406,63262.57647476462,93546.77764287854,56838.93753929764,108035.1008023984,0.08174034721514545,-618.0729508588796,-1178.496788756247,-3927.570583965467,-3537.654881480263,105.9428641513406,1466786.772598655,5.942864151340572,164874.0383416961,78.23159723231878,0,5676.401837372181,-257.9579597500016,1,1,0,78.23159723231878,5676.401837372181,105.9428641513406,0
74.09999999999962,105.9265699161137,63201.0770867196,93428.25194889888,56447.5343363718,107681.2040229047,-0.2740027974043642,-611.9279003249454,-1191.999282095544,-3900.524622643291,-3540.246575339421,105.9265699161137,1465478.274980676,5.926569916113664,164128.7383592765,78.13247618735349,0,5676.401837372181,-257.9579597500016,1,1,0,78.13247618735349,5676.401837372181,105.9265699161137,0
